total_position_B_60,total_position_A_60,total_xp_B_60,total_xp_A_60,total_level_B_60,total_level_A_60,total_goldEarned_B_60,total_goldEarned_A_60,total_minionsKilled_B_60,total_minionsKilled_A_60,CHAMPION_KILL_B_60,CHAMPION_KILL_A_60,WARD_PLACED_B_60,WARD_PLACED_A_60,WARD_KILL_B_60,WARD_KILL_A_60,BUILDING_KILL_B_60,BUILDING_KILL_A_60,ELITE_MONSTER_KILL_B_60,ELITE_MONSTER_KILL_A_60,ITEM_PURCHASED_B_60,ITEM_PURCHASED_A_60,ITEM_SOLD_B_60,ITEM_SOLD_A_60,ITEM_DESTROYED_B_60,ITEM_DESTROYED_A_60,ITEM_UNDO_B_60,ITEM_UNDO_A_60,SKILL_LEVEL_UP_B_60,SKILL_LEVEL_UP_A_60,win,gameDuration,gameDuration_targetlabel
,,56075.0,58987.0,67.0,68.0,50132.0,55259.0,575.0,618.0,32.0,37.0,100.0,46.0,9.0,10.0,1.0,9.0,2.0,2.0,106.0,101.0,4.0,5.0,57.0,51.0,3.0,4.0,67.0,66.0,True,27.0,1
,79214.0,,80009.0,,81.0,,58316.0,,739.0,,,,,,,,,,,,,,,,,,,,,True,42.0,2
,,,55199.0,,66.0,,42726.0,,,,,,,,,,,,,,,,,,,,,,,True,33.0,2
,,83249.0,67609.0,82.0,75.0,66309.0,56458.0,805.0,777.0,47.0,28.0,71.0,55.0,7.0,9.0,10.0,3.0,4.0,2.0,87.0,125.0,6.0,5.0,42.0,78.0,2.0,4.0,82.0,75.0,False,32.0,2
,103618.0,,42588.0,,57.0,,32630.0,,282.0,,,,,,,,,,,,,,,,,,,,,True,31.0,2
25999.0,20224.0,107762.0,103544.0,90.0,89.0,86525.0,83096.0,954.0,1100.0,47.0,37.0,81.0,93.0,26.0,17.0,8.0,7.0,4.0,6.0,132.0,131.0,6.0,9.0,76.0,82.0,5.0,7.0,90.0,89.0,False,46.0,2
,,75327.0,64160.0,78.0,71.0,64254.0,56368.0,749.0,762.0,42.0,25.0,46.0,63.0,29.0,10.0,11.0,3.0,6.0,0.0,109.0,120.0,3.0,7.0,59.0,58.0,4.0,3.0,78.0,71.0,False,31.0,2
,,59174.0,52288.0,69.0,64.0,54218.0,42663.0,669.0,601.0,31.0,20.0,46.0,41.0,11.0,12.0,9.0,1.0,3.0,2.0,99.0,96.0,5.0,5.0,57.0,44.0,6.0,9.0,68.0,64.0,False,26.0,1
,76835.0,,58655.0,,68.0,,38928.0,,426.0,,,,,,,,,,,,,,,,,,,,,True,35.0,2
,,38321.0,49917.0,52.0,61.0,33142.0,47121.0,418.0,556.0,15.0,33.0,39.0,47.0,10.0,13.0,0.0,9.0,0.0,3.0,94.0,92.0,5.0,3.0,50.0,62.0,1.0,1.0,53.0,61.0,True,22.0,1
,,75622.0,80208.0,79.0,81.0,62753.0,66295.0,800.0,721.0,33.0,40.0,125.0,62.0,16.0,14.0,3.0,13.0,3.0,3.0,115.0,115.0,5.0,4.0,56.0,68.0,5.0,0.0,79.0,81.0,True,36.0,2
